Transport_ID,TripID,RouteID,StopID,StopName,WeekBeginning,NumberOfBoardings
T230,15825,265,14326,21G Gordon St,2013-07-14 00:00:00,1
T231,17603,203B,11366,35 Bridge Rd,2014-02-09 00:00:00,2
T232,58458,G10,11796,23 Prospect Rd,2014-01-05 00:00:00,1
T233,27852,229F,11685,25 Main North Rd,2013-11-17 00:00:00,4
T234,14085,271,12396,18 North East Rd,2014-04-13 00:00:00,1
T235,46198,174,12368,22 Lower North East Rd,2013-12-08 00:00:00,1
T236,12806,169,17941,6 Richmond Rd,2014-03-23 00:00:00,13
T237,58264,G10,14993,26A University Dr,2013-07-21 00:00:00,6
T238,13578,262,13781,2 Anzac Hwy,2014-03-16 00:00:00,4
T239,5479,157,13297,W1 North Tce,2013-12-08 00:00:00,4
T240,28033,248,14234,13 South Tce,2013-08-04 00:00:00,1
T241,50549,H30,16377,28 Seaview Rd,2013-12-15 00:00:00,18
T242,50658,H31,13190,4 Magill Rd,2013-11-03 00:00:00,2
T243,58994,M44,13361,W2 King William St,2014-01-19 00:00:00,39
T244,15545,G10C,12564,12 Prospect Rd,2014-07-06 00:00:00,12
T245,16573,M44,14602,20 Marion Rd,2014-03-09 00:00:00,1
T246,15083,G10,13049,3 O'Connell St,2014-06-15 00:00:00,3
T247,50129,H20,16400,6 The Parade,2013-11-10 00:00:00,2
T248,36959,580,13704,1A Richmond Rd,2013-10-06 00:00:00,11
T249,11403,147,13577,9 Stirling St,2014-06-22 00:00:00,1
T250,15107,G10,11796,23 Prospect Rd,2014-03-02 00:00:00,1
T251,30041,722F,15687,44 Old South Rd,2013-10-13 00:00:00,3
T252,53065,271,11937,28 North East Rd,2013-09-08 00:00:00,1
T253,56828,230,13091,2 King William Rd,2013-09-15 00:00:00,1
T254,28680,442,10188,76 Blair Park Dr,2013-08-18 00:00:00,1
T255,17868,861,13710,1 Glen Osmond Rd,2014-04-20 00:00:00,1
T256,14782,C1X,10945,50 Golden Grove Rd,2014-06-01 00:00:00,25
T257,18062,506,11619,35 Wandana Av,2013-09-15 00:00:00,1
T258,11250,H30,13343,E3 Currie St,2014-02-09 00:00:00,15
T259,8483,556,11968,30 Lower North East Rd,2013-11-03 00:00:00,2
T260,7458,M44,14963,Zone B Marion Interchange,2013-06-30 00:00:00,1
T261,58898,M44,14258,13 Marion Rd,2013-09-01 00:00:00,1
T262,27416,222,17529,Zone D Mawson Interchange,2013-12-15 00:00:00,3
T263,53396,502,16667,Zone A Klemzig Interchange,2013-11-03 00:00:00,1
T264,55254,N4,17986,Hallett Cove,2013-08-25 00:00:00,2
T265,58262,G10,14993,26A University Dr,2013-10-27 00:00:00,2
T266,49452,B10,13096,26 Magill Rd,2013-10-20 00:00:00,1
T267,8631,200,13538,I1 King William St,2014-05-04 00:00:00,2
T268,50643,H30S,13231,2 North Tce,2013-10-13 00:00:00,2
T269,50063,H20,12742,22 St Bernards Rd,2013-12-15 00:00:00,2
T270,51535,W90,14595,20C Daws Rd,2013-08-04 00:00:00,1
T271,30868,820S,14077,25A Greenhill Rd,2013-10-06 00:00:00,1
T272,16754,251,12661,15 South Rd,2013-09-29 00:00:00,1
T273,27495,224F,10265,60 Philip Hwy,2013-09-08 00:00:00,1
T274,47585,281,12317,21 Fourth Av,2013-09-22 00:00:00,4
T275,30852,820,13664,6 Greenhill Rd,2013-07-14 00:00:00,1
T276,50644,H30S,16426,9 Henley Beach Rd,2013-07-21 00:00:00,3
T277,44726,100,12472,220 Woodville Rd,2013-09-22 00:00:00,3
T278,18379,542,10968,58 Haines Rd,2014-04-06 00:00:00,1
T279,17485,204,12869,7 Walkerville Tce,2013-10-13 00:00:00,1
T280,6065,190,14224,11 Belair Rd,2014-06-29 00:00:00,3
T281,15863,G21,15510,Zone B Aberfoyle Hub Centre In,2014-02-09 00:00:00,7
T282,18566,251,13048,3 Ward St,2014-04-20 00:00:00,1
